ID,country_name,lat,lon,station_name
010620,SVALBARD,76.5,25.067,HOPEN
013840,NORWAY,60.2,11.083,OSLO/GARDERMOEN
026800,SWEDEN,56.917,18.15,HOBURG
029740,FINLAND,60.317,24.967,HELSINKI-VANTAA
031350,UNITED KINGDOM,55.5,-4.583,PRESTWICK(CIV/NAVY)
032040,MAN  ISLE OF,54.083,-4.633,ISLE OF MAN/RONALDS
038940,GUERNSEY,49.433,-2.6,GUERNSEY AIRPORT
038950,JERSEY,49.217,-2.2,JERSEY AIRPORT
039530,IRELAND,51.933,-10.25,VALENTIA OBSERVATOR
040180,ICELAND,63.967,-22.6,KEFLAVIK
042310,GREENLAND,67.017,-50.7,KANGERLUSSUAQ (SDR.
060110,FAROE ISLANDS,62.017,-6.767,TORSHAVN
061800,DENMARK,55.617,12.65,KOEBENHAVN/KASTRUP
062650,NETHERLANDS,52.133,5.283,SOESTERBERG
064510,BELGIUM,50.9,4.533,BRUXELLES NATIONAL
064785,BELGIUM AND LUXEMBOURG,50.633,5.467,LIEGE/BIERSET(BAFB)
065900,LUXEMBOURG,49.617,6.217,LUXEMBOURG/LUXEMBOU
066700,SWITZERLAND,47.483,8.533,ZURICH-KLOTEN
069900,LIECHTENSTEIN,47.133,9.517,VADUZ
071490,FRANCE,48.717,2.383,PARIS-ORLY
083970,SPAIN,37.15,-5.617,MORON DE LA FRONTER
084950,GIBRALTAR,36.15,-5.35,GIBRALTAR
085030,AZORES,39.667,-31.117,CORVO ISLAND
085090,PORTUGAL,38.767,-27.1,LAJES (ACORES)
085940,CAPE VERDE,16.733,-22.95,SAL
108660,GERMANY,48.354,11.786,MUNICH/RIEM
110100,AUSTRIA,48.233,14.183,LINZ/HOERSCHING-FLU
115180,CZECH REPUBLIC,50.1,14.25,PRAHA/RUZYNE
118160,SLOVAKIA,48.2,17.2,BRATISLAVA-LETISKO
122050,POLAND,53.4,14.617,SZCZECIN
128120,HUNGARY,47.267,16.633,SZOMBATHELY
130140,SLOVENIA,46.217,14.483,LJUBLJANA/BRNIK
131160,CROATIA,45.217,14.583,RIJEKA/OMISALJ
131500,YUGOSLAVIA (& FORMER TERRITORY),45.167,18.0,SLAVONSKI BROD
133530,BOSNIA AND HERZEGOVINA,43.817,18.333,SARAJEVO/BUTMIR
135780,MACEDONIA,41.117,20.8,OHRID
136150,ALBANIA,41.333,19.783,TIRANA
153600,ROMANIA,45.167,29.733,SULINA
155520,BULGARIA,43.2,27.917,VARNA
163200,ITALY,40.65,17.95,BRINDISI
165970,MALTA,35.85,14.483,LUQA
167160,GREECE,37.9,23.733,ATHINAI (AIRPORT)
172180,TURKEY,38.517,27.017,IZMIR/CIGLI
176000,CYPRUS,34.717,32.482,PAPHOS AIRPORT
262310,ESTONIA,58.367,24.5,PJARNU
264220,LATVIA,56.967,24.05,RIGA
265090,LITHUANIA,55.733,21.067,KLAIPEDA
268500,BELARUS,53.933,27.633,MINSK
275530,FORMER USSR (EUROPE),56.217,43.817,GOR'KIJ
317350,RUSSIA,48.517,135.167,HABAROVSK
330880,UKRAINE,51.283,26.617,SARNY
338150,MOLDOVA,47.017,28.983,KISINEV
361770,KAZAKHSTAN,50.417,80.3,SEMIPALATINSK
366650,FORMER USSR (ASIA),47.467,84.917,ZAJSAN
369740,KYRGYZSTAN,41.433,76.0,NARYN
373950,GEORGIA,42.267,42.633,KUTAISI
375750,AZERBAIJAN,41.667,46.65,ZAKATALA
377890,ARMENIA,40.133,44.467,YEREVAN/YEREVAN-ARA
384570,UZBEKISTAN,41.267,69.267,TASHKENT
388360,TAJIKISTAN,38.55,68.783,DUSHANBE
388800,TURKMENISTAN,37.987,58.361,ASHGABAT KESHI
400450,SYRIA,35.317,40.15,DEIR EZZOR
401000,LEBANON,33.817,35.483,RAFIC HARIRI INTL
401800,ISRAEL,32.0,34.9,BEN-GURION INT. AIR
401840,WEST BANK,31.867,35.217,JERUSALEM
402700,JORDAN,31.983,35.983,AMMAN AIRPORT
404160,SAUDI ARABIA,26.267,50.167,DHAHRAN
404490,UNITED ARAB EMIRATES,25.35,55.383,SHARJAH
405820,KUWAIT,29.222,47.966,KUWAIT INTERNATIONA
408310,IRAN,30.367,48.25,ABADAN
409480,AFGHANISTAN,34.55,69.217,KABUL AIRPORT
411500,BAHRAIN,26.267,50.65,BAHRAIN (INT. AIRPO
411700,QATAR,25.25,51.567,DOHA INTERNATIONAL
413160,OMAN,17.033,54.083,SALALAH
414363,YEMEN,15.967,48.783,SAYUN
414670,DEMOCRATIC YEMEN,12.833,45.033,ADEN KHORMAKSAR
417800,PAKISTAN,24.9,67.133,KARACHI AIRPORT
419230,BANGLADESH,23.767,90.383,DHAKA
421820,INDIA,28.583,77.2,NEW DELHI/SAFDARJUN
434970,SRI LANKA,6.117,81.133,HAMBANTOTA
435990,MALDIVES,-0.683,73.15,GAN
443730,MONGOLIA,43.583,104.417,DALANZADGAD
444540,NEPAL,27.7,85.367,KATHMANDU AIRPORT
450110,MACAU,22.15,113.6,TAIPA GRANDE
466960,TAIWAN,25.067,121.55,SUNGSHAN/TAIPEI
470580,"KOREA, NORTH",39.033,125.783,PYONGYANG
471100,"KOREA, SOUTH",37.567,126.783,GIMPO INTL AIRPORT
478080,JAPAN,33.583,130.449,FUKUOKA AIRPORT
480420,BURMA,21.983,96.1,MANDALAY
484560,THAILAND,13.917,100.6,DON MUANG
486650,MALAYSIA,2.267,102.25,MALACCA
486980,SINGAPORE,1.367,103.983,SINGAPORE/CHANGI AI
489000,VIETNAM,10.817,106.667,TAN SON HOA
489200,SPRATLY ISLANDS,8.65,111.917,TRUONG SA
489400,LAOS,17.95,102.567,VIENTIANE
489910,CAMBODIA,11.55,104.85,PHNOM-PENH/POCHENTO
567780,CHINA,25.017,102.683,KUNMING
599810,PARACEL ISLANDS,16.833,112.333,XISHA DAO
600214,CANARY ISLANDS,28.417,-16.75,TENEIFE SUR
600960,WESTERN SAHARA,23.717,-15.933,DAKHLA
601400,"ST. MARTEEN, ST. EUSTATIUS, AND SABA",34.033,-3.017,FES
601560,MOROCCO,33.367,-7.583,NOUASSEUR
603900,ALGERIA,36.683,3.217,DAR-EL-BEIDA
607150,TUNISIA,36.833,10.233,TUNIS-CARTHAGE
610520,NIGER,13.483,2.167,NIAMEY-AERO
612260,MALI,16.267,-0.05,GAO
614210,MAURITANIA,20.517,-13.067,ATAR
616410,SENEGAL,14.733,-17.5,DAKAR/YOFF
617010,GAMBIA  THE,13.2,-16.633,BANJUL/YUNDUM
617660,GUINEA-BISSAU,11.883,-15.65,BISSAU (AEROPORTO I
618320,GUINEA,9.567,-13.617,CONAKRY/GBESSIA
618560,SIERRA LEONE,8.617,-13.2,LUNGI
619020,ST. HELENA,-7.967,-14.4,WIDE AWAKE FIELD (A
619310,SAO TOME AND PRINCIPE,0.383,6.717,S. TOME
619670,BRITISH INDIAN OCEAN TERRITORY,7.3,72.4,DIEGO GARCIA NAF
619700,JUAN DE NOVA ISLAND,-17.05,42.717,ILE JUAN DE NOVA
619720,EUROPA ISLAND,-22.333,40.333,ILE EUROPA
619740,MAURITIUS,-10.433,56.75,AGALEGA
619760,TROMELIN ISLAND,-15.833,54.517,SERGE-FROLOW (ILE T
619800,REUNION AND ASSOCIATED ISLANDS,-20.9,55.533,SAINT-DENIS/GILLOT
619980,FRENCH SOUTHERN AND ANTARCTIC LANDS,-49.3,70.2,PORT-AUX-FRANCAIS
620530,LIBYA,32.1,20.267,BENINA
623380,GAZA STRIP,31.5,34.45,GHAZZA
623660,EGYPT,30.133,31.4,CAIRO AIRPORT
627210,SUDAN,15.6,32.549,KHARTOUM
630210,ERITREA,15.283,38.917,ASMARA
631250,DJIBOUTI,11.55,43.15,DJIBOUTI
631700,SOMALIA,9.5,44.083,HARGEISA
634500,ETHIOPIA,9.033,38.75,ADDIS ABABA-BOLE
637050,UGANDA,0.05,32.45,ENTEBBE AIRPORT
637140,KENYA,-0.267,36.1,NAKURU
638940,TANZANIA,-6.867,39.2,DAR ES SALAAM AIRPO
639800,SEYCHELLES,-4.667,55.517,SEYCHELLES INTERNAT
642100,ZAIRE,-4.383,15.433,KINSHASA/NDJILI
643870,RWANDA,-1.968,30.137,KIGALI INTL
643900,BURUNDI,-3.317,29.317,BUJUMBURA
644500,CONGO,-4.25,15.25,BRAZZAVILLE/MAYA-M
645510,GABON,-0.717,10.233,LAMBARENE
646500,CENTRAL AFRICAN REPUBLIC,4.4,18.517,BANGUI
647000,CHAD,12.133,15.033,NDJAMENA
648100,EQUATORIAL GUINEA,3.75,8.767,MALABO
649100,CAMEROON,4.0,9.733,DOUALA OBS.
650460,NIGERIA,12.05,8.533,KANO
653380,BENIN,7.167,2.067,BOHICON
653610,TOGO,8.983,1.15,SOKODE
654720,GHANA,5.6,-0.167,ACCRA
655020,BURKINA FASO,13.567,-2.417,OUAHIGOUYA
655920,COTE D'IVOIRE,4.417,-7.367,TABOU
656600,LIBERIA,6.25,-10.35,ROBERTS FIELD
661600,ANGOLA,-8.85,13.233,LUANDA
664220,ANDORRA,-15.2,12.15,MOCAMEDES
670020,COMOROS,-11.533,43.267,HAHAYA INT. AIRPORT
670050,MAYOTTE,-12.8,45.283,DZAOUDZI/PAMANZI (M
671970,MADAGASCAR,-25.033,46.95,TAOLAGNARO
672830,MOZAMBIQUE,-17.883,36.883,QUELIMANE
676650,ZAMBIA,-15.317,28.45,LUSAKA INTERNATIONA
676930,MALAWI,-15.683,34.967,CHILEKA
679910,ZIMBABWE,-22.217,30.0,BEITBRIDGE
682260,BOTSWANA,-24.017,21.883,TSHANE
683120,NAMIBIA,-26.533,18.117,KEETMANSHOOP
683960,SWAZILAND,-26.533,31.3,MANZINI/MATSAPA AIR
684420,SOUTH AFRICA,-29.1,26.3,BLOEMFONTEIN AIRPOR
684540,LESOTHO,-29.45,27.55,MASERU-MIA
689920,BOUVET ISLAND,-54.433,3.4,BOUVET ISLAND
690110,IRAQ,35.75,43.25,Q-WEST
718050,ST. PIERRE AND MIQUELON,46.767,-56.167,SAINT-PIERRE
718160,CANADA,53.317,-60.417,GOOSE BAY AIRPORT
718365,CLIPPERTON ISLAND,51.283,-80.6,MOOSONEE A
